"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-26","91",",,S","78",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-27","91",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-28","92",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-29","90",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-30","93",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-08-31","94",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-09-01","95",",,S","75",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-09-02","98",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-09-03","98",",,S","76",",,S"
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-09-04","98",",,S",,
"IN005120501","BHUJ RUDRAMATA, IN","23.25","69.667","80.0","2005-09-05","96",",,S","78",",,S"
